WKT,id,name,alt_name,latitude,longitude
"POINT (124.09015 0.65557)",71.0,SULAWESI UTARA,SULAWESI UTARA,0.65557,124.09015
"POINT (120.80886 -1.69378)",72.0,SULAWESI TENGAH,SULAWESI TENGAH,-1.69378,120.80886
"POINT (119.94719 -3.64467)",73.0,SULAWESI SELATAN,SULAWESI SELATAN,-3.64467,119.94719
"POINT (121.72796 -3.54912)",74.0,SULAWESI TENGGARA,SULAWESI TENGGARA,-3.54912,121.72796
"POINT (122.45559 0.71862)",75.0,GORONTALO,GORONTALO,0.71862,122.45559
"POINT (119.3919 -2.49745)",76.0,SULAWESI BARAT,SULAWESI BARAT,-2.49745,119.3919
